osm_id,code,fclass,name,Latitude,Longitude
5305955338,5601,railway_station,Ramanathapuram,09° 21' 31.91"" N,078° 50' 15.1"" E
5305955340,5601,railway_station,Uchippuli,09° 18' 31.8"" N,079° 00' 44.75"" E
5305955343,5601,railway_station,Mandapam,09° 16' 50.8"" N,079° 09' 26.19"" E
5305955344,5601,railway_station,Pamban,09° 16' 48.7"" N,079° 12' 50.01"" E
5306231354,5601,railway_station,Tiruchchuli,09° 32' 15.86"" N,078° 11' 54.25"" E
5306231356,5601,railway_station,Aruppukkottai,09° 31' 28.66"" N,078° 06' 10.37"" E
5306231358,5601,railway_station,Virudhunagar Junction,09° 35' 40.2"" N,077° 57' 26.64"" E
5306327078,5601,railway_station,Otivakkam,12° 37' 21.81"" N,079° 58' 30.94"" E
5306412986,5601,railway_station,Madurantakam,12° 30' 17.08"" N,079° 53' 36.0"" E
5306585646,5601,railway_station,Tindivanam,12° 13' 44.98"" N,079° 39' 5.51"" E
5308325636,5601,railway_station,Mundiyampakkam,11° 59' 42.59"" N,079° 30' 41.65"" E
5308690568,5601,railway_station,ஆலந்தூர்,13° 00' 15.32"" N,080° 12' 5.23"" E
5310778033,5601,railway_station,Ambattur,13° 06' 50.49"" N,080° 09' 10.3"" E
5310778035,5601,railway_station,Annanur,13° 06' 58.88"" N,080° 07' 36.89"" E
5310778036,5601,railway_station,Veppampattu,13° 07' 24.96"" N,079° 59' 54.32"" E
5310778038,5601,railway_station,Sevvapet Road,13° 07' 30.96"" N,079° 57' 57.82"" E
5310778041,5601,railway_station,Tiruvallur,13° 06' 58.29"" N,079° 54' 43.78"" E
5310778042,5601,railway_station,Kadambattur,13° 05' 59.48"" N,079° 51' 47.33"" E
